type,n,extra_balls,seed,relaxation,mosek_code,pval,dval,rel_gap,eval_ratio,time
ttrs,10.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_10_968.mat,beta,PrimalAndDualFeasible,-93.6174250741878,-93.6174250998914,2.745599895012037e-10,12458095760.79213,0.038507938385009766
ttrs,20.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_20_283.mat,beta,PrimalAndDualFeasible,-145.5673555057079,-145.56735550579853,6.226453112282868e-13,8908792890040.656,0.37937498092651367
ttrs,5.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_5_940.mat,beta,PrimalAndDualFeasible,-15.463445147946887,-15.463445224067298,4.922603623702043e-09,814407450.8202509,0.010165929794311523
ttrs,10.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_10_602.mat,beta,PrimalAndDualFeasible,-59.00992585788272,-59.009925867057774,1.554832254346912e-10,34508006925.22653,0.0302579402923584
ttrs,10.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_10_366.mat,beta,PrimalAndDualFeasible,-85.65657666115712,-85.65657679265827,1.5352137349250083e-09,2075745013.0607169,0.038633108139038086
ttrs,20.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_20_335.mat,beta,PrimalAndDualFeasible,-143.2214079522502,-143.22140797744083,1.7588602566601334e-10,15815157984.015669,0.3701441287994385
ttrs,20.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_20_269.mat,beta,PrimalAndDualFeasible,-140.05899002815875,-140.05899003027437,1.5105255181617828e-11,372434106350.06177,0.4164102077484131
ttrs,20.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_20_527.mat,beta,PrimalAndDualFeasible,-87.57094095608468,-87.57094095611569,3.5409103350979523e-13,72474467668797.75,0.36663007736206055
ttrs,10.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_10_762.mat,beta,PrimalAndDualFeasible,-65.74703702821424,-65.74703708419335,8.514317478546712e-10,5048600949.133212,0.03607916831970215
ttrs,20.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_20_719.mat,beta,PrimalAndDualFeasible,-127.99032680189242,-127.99032680355283,1.2972937230937651e-11,356842418243663.5,0.42450690269470215
ttrs,20.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_20_725.mat,beta,PrimalAndDualFeasible,-118.73501389924616,-118.73501389930746,5.163230729343844e-13,9028001353753.1,0.3171830177307129
ttrs,20.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_20_731.mat,beta,PrimalAndDualFeasible,-144.54248321694354,-144.54248322116,2.91711764384742e-11,156190799331.88303,0.31848788261413574
ttrs,20.0,2.0,../data/soctrust/Section_5_3_unsolved_instances_saved/instance_20_727.mat,beta,PrimalAndDualFeasible,-150.7057012504502,-150.70570127389655,1.55577041145089e-10,33131605527.67442,0.39114904403686523
