type,n,m,seed,generator_timestamp,test_timestamp,relaxation,time
maxnorm,2,4,40,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0007641315460205
maxnorm,2,4,41,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0011861324310302
maxnorm,2,4,42,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0009989738464355
maxnorm,2,4,43,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0010368824005126
maxnorm,2,4,44,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0010988712310791
maxnorm,2,4,45,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0009310245513916
maxnorm,2,4,46,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0009770393371582
maxnorm,2,4,47,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0009839534759521
maxnorm,2,4,48,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0009589195251464
maxnorm,2,4,49,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0012991428375244
maxnorm,2,4,50,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0013768672943115
maxnorm,2,4,51,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0010919570922851
maxnorm,2,4,52,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0009231567382812
maxnorm,2,4,53,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0011160373687744
maxnorm,2,4,54,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0010240077972412
maxnorm,2,4,55,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0012750625610351
maxnorm,2,4,56,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0013110637664794
maxnorm,2,4,57,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0009779930114746
maxnorm,2,4,58,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.001439094543457
maxnorm,2,4,59,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0012760162353515
maxnorm,2,4,60,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.000939130783081
maxnorm,2,4,61,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.001331090927124
maxnorm,2,4,62,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0010910034179687
maxnorm,2,4,63,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0012040138244628
maxnorm,2,4,64,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0010180473327636
maxnorm,2,4,65,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0009729862213134
maxnorm,2,4,66,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0009829998016357
maxnorm,2,4,67,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0010180473327636
maxnorm,2,4,68,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0011498928070068
maxnorm,2,4,69,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0011720657348632
maxnorm,2,4,70,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0011899471282958
maxnorm,2,4,71,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0009498596191406
maxnorm,2,4,72,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0011940002441406
maxnorm,2,4,73,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0013151168823242
maxnorm,2,4,74,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0007810592651367
maxnorm,2,4,75,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0010590553283691
maxnorm,2,4,76,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0013580322265625
maxnorm,2,4,77,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0009839534759521
maxnorm,2,4,78,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0011448860168457
maxnorm,2,4,79,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0010089874267578
maxnorm,2,4,80,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0012218952178955
maxnorm,2,4,81,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0010199546813964
maxnorm,2,4,82,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0010900497436523
maxnorm,2,4,83,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.000950813293457
maxnorm,2,4,84,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0011160373687744
maxnorm,2,4,85,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0013661384582519
maxnorm,2,4,86,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0009601116180419
maxnorm,2,4,87,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0012359619140625
maxnorm,2,4,88,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.0010700225830078
maxnorm,2,4,89,2023-10-26 00:02:46,2023-10-28 00:34:53,beta,0.001039981842041
