type,n,extra_balls,seed,relaxation,mosek_code,pval,dval,rel_gap,eval_ratio,time
martinez,2.0,1.0,596.0,beta,PrimalAndDualFeasible,-0.6819314055722869,-0.6819314055666453,5.641598299632733e-12,97954376389.54471,0.0007958412170410156
martinez,2.0,1.0,606.0,shor,PrimalAndDualFeasible,-0.00551650509982786,-0.3527847734759177,0.3472682683760898,3.290851988790904,0.0003352165222167969
martinez,2.0,1.0,606.0,kron,PrimalAndDualFeasible,-0.2804678467415596,-0.28046784726355567,5.219960574898153e-10,3160473444.479513,0.0019311904907226562
martinez,2.0,1.0,606.0,beta,PrimalAndDualFeasible,-0.28046784730680124,-0.2804678473479976,4.119637964095091e-11,46198544936.3223,0.0008199214935302734
martinez,2.0,1.0,622.0,shor,PrimalAndDualFeasible,0.0005536632385730953,-0.6005854228350652,0.6011390860736383,1.1523663504798247,0.0002930164337158203
martinez,2.0,1.0,622.0,kron,PrimalAndDualFeasible,0.0005317327587479015,-0.57947328665177,0.5800050194105179,1.2230421179987978,0.0017719268798828125
martinez,2.0,1.0,622.0,beta,PrimalAndDualFeasible,-0.556796231724237,-0.5567962325807148,8.564777775887933e-10,3150845913.45119,0.0007390975952148438
martinez,2.0,1.0,623.0,shor,PrimalAndDualFeasible,0.0668320853001902,-0.29702144917989654,0.3638535344800867,4.649874299618923,0.0003409385681152344
martinez,2.0,1.0,623.0,kron,PrimalAndDualFeasible,-0.2208296127502508,-0.22082961277009452,1.984373776409143e-11,20812238143.949734,0.0018880367279052734
martinez,2.0,1.0,623.0,beta,PrimalAndDualFeasible,-0.2208296125472956,-0.22082961274629623,1.9900062153688225e-10,1788527567.4202645,0.0007851123809814453
martinez,2.0,1.0,630.0,shor,PrimalAndDualFeasible,-1.0242273145306475,-1.3398540222979063,0.26701848438994585,4.727266122840691,0.0003840923309326172
martinez,2.0,1.0,630.0,kron,PrimalAndDualFeasible,-1.3118392161836383,-1.3118392306276374,1.1010494922071984e-08,117133586.47266589,0.0019199848175048828
martinez,2.0,1.0,630.0,beta,PrimalAndDualFeasible,-1.3118392310657268,-1.3118392315971033,4.0506221011474176e-10,2430035711.5484858,0.0009000301361083984
martinez,2.0,1.0,640.0,shor,PrimalAndDualFeasible,-0.43906289022416584,-0.7405090027383215,0.3014461125141557,2.873178676742526,0.00031304359436035156
martinez,2.0,1.0,640.0,kron,PrimalAndDualFeasible,-0.705017415327133,-0.7050174154791595,1.5202650249790395e-10,7800200035.0379095,0.001920938491821289
martinez,2.0,1.0,640.0,beta,PrimalAndDualFeasible,-0.7050174148575898,-0.7050174152278456,3.7025571497650844e-10,2201905861.5905395,0.0009911060333251953
martinez,2.0,1.0,645.0,shor,PrimalAndDualFeasible,-0.04455479486762903,-0.8680248935509635,0.8234700986833344,1.9535991609459529,0.00032806396484375
martinez,2.0,1.0,645.0,kron,PrimalAndDualFeasible,-0.8020636851778142,-0.8020636868308575,1.6530432578321097e-09,2027504795.0161366,0.0015978813171386719
martinez,2.0,1.0,645.0,beta,PrimalAndDualFeasible,-0.8020636856758019,-0.8020636868182727,1.1424707846430238e-09,3096730367.833556,0.0007898807525634766
martinez,2.0,1.0,662.0,shor,PrimalAndDualFeasible,-0.5232395433755772,-1.03213024992065,0.5088907065450727,2.9272874280192647,0.0004100799560546875
martinez,2.0,1.0,662.0,kron,PrimalAndDualFeasible,-0.9855854706933257,-0.9855854913272286,2.0633902919620084e-08,94565450.94995858,0.002763986587524414
martinez,2.0,1.0,662.0,beta,PrimalAndDualFeasible,-0.9855854917371093,-0.9855854917422828,5.173528272450767e-12,493715666025.52783,0.0006871223449707031
martinez,2.0,1.0,697.0,shor,PrimalAndDualFeasible,-0.42229841424923825,-0.7403076351845934,0.31800922093535516,3.5128938900947806,0.00040078163146972656
martinez,2.0,1.0,697.0,kron,PrimalAndDualFeasible,-0.6666031587163129,-0.6666031587383305,2.2017609957458717e-11,29475106020.6852,0.0018930435180664062
martinez,2.0,1.0,697.0,beta,PrimalAndDualFeasible,-0.6666031580818446,-0.6666031583996149,3.17770365576564e-10,2736023763.434476,0.0008199214935302734
martinez,2.0,1.0,737.0,shor,PrimalAndDualFeasible,-1.448802739556502,-1.4695812045834533,0.014239706237881422,88.32887645735022,0.0005550384521484375
martinez,2.0,1.0,737.0,kron,PrimalAndDualFeasible,-1.469505992342776,-1.469505994966024,1.7851223979648148e-09,705608795.4412364,0.0017180442810058594
martinez,2.0,1.0,737.0,beta,PrimalAndDualFeasible,-1.469505995974893,-1.4695059959718562,2.0666156312945575e-12,309667217318.76996,0.0006389617919921875
martinez,2.0,1.0,739.0,shor,PrimalAndDualFeasible,0.33448815917121105,-0.4401824088310984,0.7746705680023094,2.590194002633538,0.00026702880859375
martinez,2.0,1.0,739.0,kron,PrimalAndDualFeasible,-0.14875292188868916,-0.14875292190933223,2.0643070586245926e-11,54871877064.826744,0.0020170211791992188
martinez,2.0,1.0,739.0,beta,PrimalAndDualFeasible,-0.14875292187996195,-0.14875292190195258,2.1990631537960326e-11,35226158782.536674,0.0006921291351318359
martinez,2.0,1.0,762.0,shor,PrimalAndDualFeasible,0.004577340908012342,-0.7602523303520937,0.764829671260106,1.3058761377998491,0.0002779960632324219
martinez,2.0,1.0,762.0,kron,PrimalAndDualFeasible,-0.6260108763598633,-0.6260108767841346,4.242712847712937e-10,6438259224.317717,0.0018401145935058594
martinez,2.0,1.0,762.0,beta,PrimalAndDualFeasible,-0.6260108764885587,-0.626010876775553,2.869943172001399e-10,13435995340.868334,0.0006501674652099609
martinez,2.0,1.0,776.0,shor,PrimalAndDualFeasible,0.015539731688457077,-0.334183981874495,0.34972371356295207,4.800260625032947,0.0003600120544433594
martinez,2.0,1.0,776.0,kron,PrimalAndDualFeasible,-0.2803750410980625,-0.28037504116052137,6.245887140821083e-11,5836840887.0076065,0.0015811920166015625
martinez,2.0,1.0,776.0,beta,PrimalAndDualFeasible,-0.28037504109608236,-0.28037504130197066,2.0588830640377864e-10,1883363255.7751658,0.0005679130554199219
martinez,2.0,1.0,778.0,shor,PrimalAndDualFeasible,-0.722041924867495,-0.999939568683471,0.27789764381597604,7.12232693673285,0.00037097930908203125
martinez,2.0,1.0,778.0,kron,PrimalAndDualFeasible,-0.9919743326076249,-0.9919743326305097,2.2884805161993427e-11,80459480096.91211,0.002499103546142578
martinez,2.0,1.0,778.0,beta,PrimalAndDualFeasible,-0.9919743326166183,-0.9919743326314232,1.4804935055678925e-11,145147686863.38367,0.0006890296936035156
